,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
256,Mystic Heroes,GameCube,2002,67,5.7,T
257,NFL Blitz 20-02,GameCube,2002,77,7.5,E
258,Ikaruga,GameCube,2003,85,8.2,E
259,Digimon World 4,GameCube,2005,55,6.6,E
260,Ty the Tasmanian Tiger 3: Night of the Quinkan,GameCube,2005,68,7.2,E10+
261,Jimmy Neutron: Boy Genius,GameCube,2002,42,7.1,E
262,XIII,GameCube,2003,73,7.7,M
263,Bomberman Jetters,GameCube,2004,70,7.1,E
264,Hello Kitty: Roller Rescue,GameCube,2005,64,7.8,E
265,Pac-Man World Rally,GameCube,2006,57,7.5,E
266,NHL 06,GameCube,2005,78,7.8,E10+
267,Swingerz Golf,GameCube,2002,72,0.0,E
268,FIFA Soccer 2003,GameCube,2002,86,6.7,E
269,Outlaw Golf,GameCube,2002,69,0.0,T
270,Big Mutha Truckers,GameCube,2003,63,0.0,T
271,TimeSplitters: Future Perfect,GameCube,2005,82,8.1,M
272,Superman: Shadow of Apokolips,GameCube,2003,66,6.8,E
273,Batman: Dark Tomorrow,GameCube,2003,29,3.0,T
274,Tomb Raider: Legend,GameCube,2006,78,8.6,T
275,Taz Wanted,GameCube,2002,61,8.6,E
276,Evolution Worlds,GameCube,2002,63,7.9,E
277,Ultimate Fighting Championship: Throwdown,GameCube,2002,67,0.0,T
278,WWE Crush Hour,GameCube,2003,55,4.4,T
279,NHL Hitz 20-03,GameCube,2002,82,9.0,E
280,Resident Evil 3: Nemesis,GameCube,2003,62,8.9,M
281,All-Star Baseball 2004,GameCube,2003,80,0.0,E
282,Madden NFL 08,GameCube,2007,75,9.4,E
283,Pitfall: The Lost Expedition,GameCube,2004,73,7.3,E
284,R: Racing Evolution,GameCube,2003,67,8.2,T
285,Conflict: Desert Storm,GameCube,2003,62,7.8,T
286,Driven,GameCube,2002,55,8.5,T
287,Smashing Drive,GameCube,2002,47,5.8,T
288,TMNT: Mutant Melee,GameCube,2005,44,7.3,T
289,NCAA College Football 2K3,GameCube,2002,70,0.0,E
290,Karaoke Revolution Party,GameCube,2005,80,0.0,E10+
291,FIFA Soccer 2004,GameCube,2003,83,0.0,E
292,Rayman 3: Hoodlum Havoc,GameCube,2003,77,8.4,E
293,Spartan: Total Warrior,GameCube,2005,73,8.7,M
294,NHL 2005,GameCube,2004,75,0.0,E
295,Midway Arcade Treasures 3,GameCube,2005,65,7.0,E
296,Sega Soccer Slam,GameCube,2002,84,7.2,E
297,Spawn: Armageddon,GameCube,2003,61,8.0,M
298,Worms 3D,GameCube,2004,69,8.0,T
299,BMX XXX,GameCube,2002,60,3.8,M
300,Cel Damage,GameCube,2002,67,7.4,T
301,Strike Force Bowling,GameCube,2005,47,0.0,E
302,Vexx,GameCube,2003,71,7.8,T
303,Batman: Rise of Sin Tzu,GameCube,2003,63,8.3,T
304,Disney Sports Skateboarding,GameCube,2002,36,0.0,E
305,Worms Blast,GameCube,2002,65,8.5,E
306,Lost Kingdoms II,GameCube,2003,68,8.1,T
307,Aggressive Inline,GameCube,2002,88,7.7,T
308,Viewtiful Joe: Red Hot Rumble,GameCube,2005,62,6.3,T
309,Wreckless: ThE YaKuza MisSiOns,GameCube,2002,58,0.0,T
310,Amazing Island,GameCube,2004,59,6.3,E
311,NFL Quarterback Club 2002,GameCube,2001,53,0.0,E
312,Blood Omen 2,GameCube,2002,71,8.3,M
313,Medabots: Infinity,GameCube,2003,51,7.8,E
314,Virtua Striker 2002,GameCube,2002,58,6.8,E
315,Pinball Hall of Fame: The Gottlieb Collection,GameCube,2005,64,0.0,E
316,Shrek Super Party,GameCube,2003,40,6.9,E
317,Monster 4x4: Masters of Metal,GameCube,2003,49,0.0,E
318,Second Sight,GameCube,2004,77,7.6,T
319,Rave Master,GameCube,2005,60,0.0,T
320,ESPN International Winter Sports 2002,GameCube,2002,62,0.0,E
321,Dark Summit,GameCube,2002,68,0.0,T
322,Rogue Ops,GameCube,2003,65,0.0,M
323,Whirl Tour,GameCube,2002,61,7.3,E
324,World Series of Poker,GameCube,2005,44,0.0,E10+
325,American Chopper 2: Full Throttle,GameCube,2005,54,0.0,T
326,2002 FIFA World Cup,GameCube,2002,78,7.0,E
327,Ribbit King,GameCube,2004,60,7.3,E
328,Summoner: A Goddess Reborn,GameCube,2003,72,7.3,T
329,Frogger: Ancient Shadow,GameCube,2005,54,7.7,E
330,Super Bubble Pop,GameCube,2003,54,0.0,E
331,Big Air Freestyle,GameCube,2002,56,7.0,T
332,Bad Boys: Miami Takedown,GameCube,2004,35,1.8,M
333,King Arthur,GameCube,2004,60,0.0,T
334,MLB SlugFest 20-04,GameCube,2003,76,0.0,E
335,Digimon Rumble Arena 2,GameCube,2004,71,7.4,T
336,NHL Hitz Pro,GameCube,2003,81,0.0,E
337,Evolution Skateboarding,GameCube,2002,44,7.8,T
338,Scaler,GameCube,2004,69,7.2,E
339,Red Faction II,GameCube,2003,79,0.0,M
340,The Italian Job,GameCube,2003,56,0.0,T
341,The Sum of All Fears,GameCube,2002,36,0.0,T
342,Disney Sports Soccer,GameCube,2002,75,8.3,E
343,F1 2002,GameCube,2002,72,7.0,E
344,Dr. Muto,GameCube,2002,63,0.0,T
345,Drome Racers,GameCube,2003,54,5.2,E
346,Animaniacs: The Great Edgar Hunt,GameCube,2005,65,0.0,E
347,Auto Modellista,GameCube,2003,62,0.0,E
348,Gotcha Force,GameCube,2003,56,8.6,E
349,Buffy the Vampire Slayer: Chaos Bleeds,GameCube,2003,75,7.0,T
350,ZooCube,GameCube,2002,67,0.0,E
351,Tube Slider,GameCube,2003,62,7.7,E
352,Future Tactics: The Uprising,GameCube,2004,63,0.0,T
353,RedCard 20-03,GameCube,2002,71,0.0,E
354,NFL Blitz Pro,GameCube,2003,71,0.0,E
355,Serious Sam: Next Encounter,GameCube,2004,69,8.6,M
356,Carmen Sandiego: The Secret of the Stolen Drums,GameCube,2004,57,0.0,E
357,Terminator 3: The Redemption,GameCube,2004,68,0.0,T
358,XGRA: Extreme G Racing Association,GameCube,2003,69,0.0,T
359,ESPN MLS ExtraTime 2002,GameCube,2002,68,0.0,E
360,Speed Kings,GameCube,2003,59,0.0,E
361,NHL 2K3,GameCube,2002,89,5.4,E
362,Disney Sports Football,GameCube,2002,59,0.0,E
363,Freestyle Metal X,GameCube,2003,70,0.0,T
364,Goblin Commander: Unleash the Horde,GameCube,2003,71,9.5,T
365,Pro Rally,GameCube,2002,64,8.3,E
366,Samurai Jack: The Shadow of Aku,GameCube,2004,59,0.0,T
367,Kao the Kangaroo Round 2,GameCube,2006,57,8.9,E
368,Dinotopia: The Sunstone Odyssey,GameCube,2003,50,0.0,T
369,Puyo Pop Fever,GameCube,2004,72,8.3,E
370,Aquaman: Battle for Atlantis,GameCube,2003,27,2.4,T
371,Freaky Flyers,GameCube,2003,69,0.0,T
372,Rally Championship,GameCube,2003,63,0.0,E
373,Grooverider: Slot Car Thunder,GameCube,2003,49,0.0,E
374,Darkened Skye,GameCube,2002,61,7.5,T
375,Virtua Quest,GameCube,2005,55,7.3,T
376,Egg Mania: Eggstreme Madness,GameCube,2002,64,7.8,E
377,Bust-A-Move 3000,GameCube,2003,53,0.0,E
