,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
412,Ford Racing 3,DS,2005,49,0.0,E
413,Ninja Reflex,DS,2008,54,0.0,E10+
414,Bejeweled Twist,DS,2010,77,0.0,E
415,SNK vs. Capcom Card Fighters DS,DS,2007,48,7.0,T
416,Glory Days 2,DS,2007,73,6.5,E10+
417,Populous DS,DS,2008,60,0.0,E10+
418,Snood 2: On Vacation,DS,2005,46,0.0,E
419,Touch Detective,DS,2006,60,6.4,E10+
420,InuYasha: Secret of the Divine Jewel,DS,2007,46,3.3,E10+
421,Tak: The Great Juju Challenge,DS,2005,66,0.0,E
422,Ultimate Mortal Kombat,DS,2007,73,8.1,M
423,Jenga World Tour,DS,2007,32,0.0,E
424,Fighting Fantasy: The Warlock of Firetop Mountain,DS,2009,45,7.6,T
425,Fullmetal Alchemist: Dual Sympathy,DS,2006,58,5.1,T
426,Spectral Force Genesis,DS,2010,46,7.8,T
427,Justice League Heroes,DS,2006,43,0.0,T
428,Sega Casino,DS,2005,61,0.0,T
429,Pipe Mania,DS,2008,71,0.0,E
430,FIFA Street 3,DS,2008,56,0.0,E
431,Red Bull BC One,DS,2008,48,0.0,E
432,The Mummy: Tomb of the Dragon Emperor,DS,2008,43,0.0,T
433,Henry Hatsworth in the Puzzling Adventure,DS,2009,82,6.7,E
434,Rock Band 3,DS,2010,79,6.1,T
435,Indianapolis 500 Legends,DS,2007,51,0.0,E
436,Brain Voyage,DS,2008,52,0.0,E
437,Knights in the Nightmare,DS,2009,76,7.6,T
438,Marvel Nemesis: Rise of the Imperfects,DS,2005,34,6.0,T
439,The Secret Saturdays: Beasts of the 5th Sun,DS,2009,60,0.0,E10+
440,Miami Nights: Singles in the City,DS,2008,48,0.0,T
441,Death Jr. and the Science Fair of Doom,DS,2007,47,0.0,E10+
442,Don King Boxing,DS,2009,71,0.0,T
443,The Spiderwick Chronicles,DS,2008,60,0.0,E10+
444,Touch Mechanic,DS,2009,54,0.0,E
445,Super Robot Taisen OG Saga: Endless Frontier,DS,2009,73,7.6,T
446,Line Rider 2: Unbound,DS,2008,59,0.0,E
447,Worms: Open Warfare,DS,2006,64,5.8,E10+
448,TrackMania DS,DS,2009,75,7.4,E
449,C.O.P.: The Recruit,DS,2009,55,3.3,T
450,Soul Bubbles,DS,2008,78,6.9,E
451,Bangai-O Spirits,DS,2008,83,6.0,E10+
452,Dawn of Heroes,DS,2010,69,0.0,E10+
453,Puchi Puchi Virus,DS,2009,73,0.0,E
454,Elebits: The Adventures of Kai and Zero,DS,2009,75,0.0,E
455,The Legend of Kage 2,DS,2008,70,7.0,E10+
456,Superman Returns,DS,2006,33,2.9,T
457,Chronicles of Mystery: The Secret Tree of Life,DS,2011,78,0.0,E10+
458,Overlord: Minions,DS,2009,58,0.0,E10+
459,Prey the Stars,DS,2008,66,0.0,E
460,Monster Racers,DS,2010,70,6.2,E
461,Robocalypse,DS,2008,78,6.4,E10+
462,Homie Rollerz,DS,2008,23,6.0,E
463,Tornado,DS,2008,44,0.0,E
464,Digimon World Championship,DS,2008,49,6.5,E
465,Real Time Conflict: Shogun Empires,DS,2005,35,0.0,E10+
466,Tomb Raider: Legend,DS,2006,58,7.8,T
467,Operation: Vietnam,DS,2007,65,0.0,T
468,Tokyo Beat Down,DS,2009,56,0.0,T
469,Beat City,DS,2010,70,5.8,E
470,Classic Action: Devilish,DS,2007,40,0.0,T
