,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
387,Worms: Ultimate Mayhem,PC,2011,66,7.6,E10+
388,Caesar IV,PC,2006,74,8.2,E10+
389,APB Reloaded,PC,2011,56,5.7,M
390,Harry Potter and the Order of the Phoenix,PC,2007,63,5.3,E10+
391,Scarface: The World is Yours,PC,2006,73,8.0,M
392,Harry Potter and the Prisoner of Azkaban,PC,2004,67,7.5,E
393,Saints Row 2,PC,2009,72,7.0,M
394,Trine 2,PC,2011,84,8.3,E10+
395,Transport Fever,PC,2016,71,7.6,
396,Homefront: The Revolution,PC,2016,54,4.7,M
397,World of Goo,PC,2008,90,8.2,E
398,Secret Files 2: Puritas Cordis,PC,2009,64,6.9,T
399,Railroad Tycoon 3,PC,2003,80,7.9,E
400,World in Conflict,PC,2007,89,8.3,T
401,Pro Cycling Manager 2016,PC,2016,64,5.7,
402,Tomb Raider: Anniversary,PC,2007,83,8.1,T
403,The Night of the Rabbit,PC,2013,75,7.5,
404,A Game of Thrones: Genesis,PC,2011,53,4.1,
405,The Cursed Crusade,PC,2011,55,5.5,M
406,Hotel Giant 2,PC,2010,58,2.6,E
407,DarkStar One,PC,2006,71,7.1,T
408,Hitman: Blood Money,PC,2006,82,8.8,M
409,Section 8,PC,2009,72,6.5,T
410,Alpha Protocol,PC,2010,72,7.5,M
411,Planescape: Torment,PC,1999,91,9.1,T
412,Star Wars Jedi Knight: Jedi Academy,PC,2003,81,8.6,T
413,The Void,PC,2009,77,8.2,
414,Supreme Ruler: Cold War,PC,2011,63,6.8,RP
415,Rise of Nations: Rise of Legends,PC,2006,84,8.3,T
416,Prey,PC,2017,82,8.3,M
417,Apache: Air Assault,PC,2010,64,7.3,T
418,Call of Juarez: Bound in Blood,PC,2009,78,7.9,M
419,Red Faction: Guerrilla,PC,2009,82,7.4,M
420,Deus Ex: Mankind Divided,PC,2016,83,7.2,M
421,Prince of Persia: The Forgotten Sands,PC,2010,75,7.0,T
422,RACE On,PC,2009,73,5.9,E
423,Song of the Deep,PC,2016,71,7.4,E
424,The Binding of Isaac,PC,2011,84,8.3,
425,Overlord II,PC,2009,79,8.1,T
426,DiRT Rally,PC,2015,86,8.5,E
427,Trials Fusion,PC,2014,80,6.9,E10+
428,Combat Mission: Shock Force,PC,2007,62,6.0,T
429,Men of War,PC,2009,80,8.1,M
430,Transformers: Devastation,PC,2015,74,7.7,T
431,Neverwinter Nights,PC,2002,91,8.2,T
432,Lock On: Modern Air Combat,PC,2005,76,6.9,E
433,Guild Wars,PC,2005,89,8.2,T
434,Take On Helicopters,PC,2011,70,6.5,T
435,Homeworld 2,PC,2003,83,8.6,T
436,Rayman 3: Hoodlum Havoc,PC,2003,74,8.1,E
437,Knights of Honor,PC,2005,77,8.7,E10+
438,The Inner World,PC,2013,72,7.8,T
